,Train accuracy,Test accuracy,Batch size,epoch
0,15.687321303579266,13.19325938566553,10,0
1,23.420056708308124,16.37158703071672,10,10
2,25.52585685304481,17.608788395904437,10,20
3,26.20920382959035,16.851535836177476,10,30
4,27.04677842237012,18.035409556313994,10,40
5,29.464592898411457,18.323378839590443,20,0
6,29.86321196806302,17.854095563139932,20,10
7,30.436226880687144,18.376706484641637,20,20
8,30.405381357440298,18.131399317406142,20,30
9,30.70909112479387,18.387372013651877,20,40
10,31.244142316498795,18.195392491467576,50,0
11,31.628524990805662,18.195392491467576,50,10
12,31.550224816409816,18.184726962457336,50,20
13,31.82783452563144,18.686006825938566,50,30
14,31.732925223333453,18.1740614334471,50,40
15,31.927489293044335,18.323378839590443,100,0
16,32.09476693834454,18.494027303754265,100,10
17,31.997484903489102,18.28071672354949,100,20
18,32.13866249065737,18.515358361774744,100,30
19,32.133917025542466,18.53668941979522,100,40
20,32.19323533947871,18.504692832764505,200,0
21,32.23831725807026,18.52602389078498,200,10
22,32.18493077552764,18.53668941979522,200,20
23,32.20035353715106,18.53668941979522,200,30
24,32.23594452551281,18.56868600682594,200,40
